blt,bondtimenothighforcearray_ecro,dispensepatternclassselection_ecro,dispenseprinttime_ecro,dispenseprocessspeed_ecro,dispensewaittime_ecro,dispenserpressure_ecro,dispenseheighttostrip_ecro,dvipostdispenseshapecheckdatainner,dvipostdispenseshapecheckdataouter,pbiepoxycoverage_left,pbiepoxycoverage_top,pbiepoxycoverage_right,pbiepoxycoverage_bottom,bondprocessbondztouchheight_ecro
25.75 ,300.00 ,40.00 ,30.00 ,0.75 ,200.00 ,0.90 ,130.00 ,0.00 ,0.07 ,0.98 ,0.98 ,0.99 ,0.99 ,586.69 
33.25 ,150.00 ,40.00 ,30.00 ,0.70 ,100.00 ,0.94 ,120.00 ,0.00 ,0.00 ,0.95 ,0.89 ,0.95 ,1.00 ,595.84 
16.75 ,50.00 ,20.00 ,30.00 ,0.75 ,80.00 ,0.42 ,120.00 ,0.04 ,0.02 ,0.90 ,0.96 ,0.98 ,0.95 ,526.13 
26.75 ,150.00 ,40.00 ,30.00 ,0.70 ,100.00 ,0.93 ,120.00 ,0.00 ,0.00 ,0.97 ,0.93 ,0.91 ,0.96 ,595.84 
27.25 ,150.00 ,40.00 ,30.00 ,0.70 ,100.00 ,0.69 ,120.00 ,0.00 ,0.03 ,0.95 ,0.93 ,0.91 ,0.94 ,575.54 
24.50 ,150.00 ,40.00 ,30.00 ,0.70 ,100.00 ,0.76 ,120.00 ,(99.99),(99.99),0.97 ,0.96 ,0.98 ,0.98 ,573.54 
35.00 ,,,,,,0.95 ,120.00 ,0.03 ,0.18 ,0.99 ,1.00 ,0.99 ,0.99 ,1499.70 
25.25 ,300.00 ,40.00 ,30.00 ,0.75 ,200.00 ,0.78 ,120.00 ,0.00 ,0.02 ,0.97 ,0.97 ,0.99 ,0.99 ,573.54 
15.25 ,50.00 ,20.00 ,30.00 ,0.75 ,,0.39 ,120.00 ,,0.08 ,1.00 ,1.00 ,1.00 ,1.00 ,580.55 
27.00 ,150.00 ,40.00 ,30.00 ,0.75 ,80.00 ,1.02 ,120.00 ,0.00 ,0.00 ,0.81 ,0.81 ,0.90 ,0.88 ,591.18 
25.50 ,300.00 ,40.00 ,30.00 ,0.75 ,200.00 ,0.78 ,120.00 ,0.00 ,0.03 ,0.97 ,0.97 ,0.98 ,0.98 ,546.57 
24.50 ,,,30.00 ,,,,,,0.00 ,1.00 ,1.00 ,,,
26.75 ,300.00 ,40.00 ,30.00 ,0.75 ,200.00 ,0.77 ,120.00 ,0.00 ,0.02 ,0.97 ,0.97 ,0.98 ,0.98 ,546.57 
33.00 ,160.00 ,40.00 ,30.00 ,0.70 ,100.00 ,0.62 ,120.00 ,0.02 ,0.01 ,0.94 ,0.92 ,0.92 ,0.94 ,567.39 
25.75 ,300.00 ,40.00 ,30.00 ,0.75 ,200.00 ,0.90 ,120.00 ,0.00 ,0.04 ,0.97 ,0.98 ,0.98 ,0.97 ,538.48 
37.25 ,,,,,,0.97 ,120.00 ,0.03 ,0.20 ,0.99 ,1.00 ,0.99 ,0.99 ,1499.70 
24.75 ,150.00 ,40.00 ,30.00 ,0.70 ,100.00 ,0.70 ,120.00 ,0.00 ,0.00 ,0.94 ,0.89 ,0.92 ,0.95 ,611.77 
36.00 ,100.00 ,40.00 ,30.00 ,0.80 ,50.00 ,1.10 ,140.00 ,0.00 ,0.00 ,0.98 ,1.00 ,0.93 ,0.99 ,987.43 
